,n_d1,n_d2,n_d3,n_d4,n_review,n_s1,n_s1plus,n_s2,n_s2plus,n_s3,n_s3plus,n_s4,n_s4plus,n_s5,zipcode,n_business
0,89.0,107.0,7.0,98.0,5594.0,3.0,9.0,17.0,22.0,69.0,69.0,68.0,28.0,205.0,53086,301
1,12.0,11.0,4.0,38.0,322.0,1.0,1.0,4.0,5.0,5.0,5.0,19.0,6.0,40.0,54466,65
2,59.0,78.0,2.0,52.0,4920.0,8.0,10.0,12.0,13.0,33.0,33.0,43.0,31.0,117.0,53092,191
3,24.0,25.0,0.0,21.0,1946.0,2.0,1.0,3.0,4.0,10.0,10.0,23.0,13.0,34.0,54235,70
4,19.0,15.0,0.0,24.0,580.0,0.0,0.0,2.0,5.0,4.0,4.0,16.0,8.0,34.0,53522,58
5,14.0,23.0,0.0,30.0,638.0,1.0,2.0,0.0,1.0,10.0,10.0,16.0,17.0,34.0,53091,67
6,81.0,50.0,5.0,61.0,4017.0,7.0,4.0,11.0,12.0,36.0,36.0,49.0,30.0,118.0,53585,197
7,54.0,52.0,7.0,35.0,3730.0,2.0,4.0,6.0,11.0,29.0,29.0,41.0,17.0,90.0,53018,148
8,88.0,63.0,4.0,65.0,4230.0,5.0,9.0,12.0,16.0,32.0,32.0,49.0,35.0,136.0,54720,220
9,112.0,108.0,1.0,59.0,15961.0,4.0,7.0,21.0,22.0,49.0,49.0,82.0,37.0,161.0,53714,280
10,17.0,26.0,0.0,13.0,1641.0,1.0,2.0,3.0,5.0,15.0,15.0,8.0,7.0,41.0,53179,56
11,127.0,71.0,4.0,81.0,5827.0,8.0,15.0,13.0,29.0,50.0,50.0,54.0,44.0,185.0,53406,284
12,32.0,31.0,2.0,46.0,1253.0,4.0,3.0,3.0,3.0,14.0,14.0,20.0,26.0,65.0,53057,111
13,78.0,102.0,8.0,90.0,6887.0,18.0,5.0,12.0,18.0,45.0,45.0,86.0,40.0,152.0,54311,278
14,201.0,201.0,17.0,140.0,24510.0,11.0,5.0,25.0,41.0,132.0,132.0,138.0,78.0,343.0,53528,559
15,54.0,50.0,0.0,54.0,2018.0,13.0,5.0,14.0,12.0,21.0,21.0,32.0,29.0,97.0,53038,158
16,221.0,237.0,16.0,195.0,38982.0,15.0,15.0,23.0,47.0,138.0,138.0,189.0,108.0,372.0,53206,669
17,20.0,19.0,1.0,13.0,663.0,1.0,2.0,4.0,5.0,6.0,6.0,9.0,11.0,33.0,53916,53
18,94.0,69.0,5.0,75.0,4391.0,8.0,9.0,14.0,20.0,38.0,38.0,50.0,36.0,157.0,54701,243
19,50.0,53.0,5.0,67.0,1898.0,10.0,1.0,9.0,20.0,22.0,22.0,35.0,26.0,114.0,54130,175
20,112.0,101.0,7.0,91.0,6980.0,10.0,9.0,13.0,35.0,54.0,54.0,65.0,44.0,202.0,53189,311
21,224.0,211.0,21.0,123.0,45613.0,8.0,4.0,9.0,35.0,118.0,118.0,211.0,87.0,281.0,53703,579
22,25.0,26.0,1.0,41.0,656.0,5.0,2.0,3.0,5.0,11.0,11.0,23.0,17.0,53.0,53034,93
23,147.0,169.0,13.0,138.0,9966.0,21.0,7.0,14.0,43.0,81.0,81.0,101.0,84.0,282.0,54915,467
24,37.0,38.0,1.0,54.0,2115.0,4.0,2.0,3.0,11.0,22.0,22.0,31.0,21.0,78.0,53119,130
