zipcode,n_business
53001,24
53002,191
53003,2
53004,105
53005,2800
53006,83
53007,26
53010,34
53011,47
53012,524
53013,61
53014,26
53015,18
53016,1
53017,207
53018,148
53019,163
53020,24
53021,200
53022,160
53023,92
53024,152
53027,218
53029,221
53031,13
53032,38
53033,424
53034,93
53035,97
53036,230
53037,461
53038,158
53039,69
53040,69
53042,19
53044,19
53045,581
53046,50
53047,156
53048,30
53049,31
53050,11
53051,252
53057,111
53058,174
53059,124
53061,71
53063,129
53065,168
53066,144
53069,13
53070,206
53072,299
53073,126
53074,52
53075,28
53076,335
53078,62
53079,41
53080,276
53081,242
53083,259
53085,79
53086,301
53088,3
53089,854
53090,107
53091,67
53092,191
53093,107
53094,69
53095,102
53097,643
53098,76
53103,661
53104,694
53105,94
53108,859
53110,181
53114,162
53115,225
53118,281
53119,130
53120,52
53121,90
53122,239
53125,319
53126,161
53128,349
53129,225
53130,60
53132,2100
53137,195
53139,237
53140,288
53142,650
53143,205
53144,318
53146,1600
53147,182
53149,35
53150,264
53151,588
53153,51
53154,426
53156,109
53158,667
53167,1
53168,63
53170,26
53172,134
53177,150
53178,177
53179,56
53181,25
53182,55
53183,99
53184,25
53185,287
53186,408
53188,795
53189,311
53190,38
53191,36
53192,7
53202,839
53203,555
53204,915
53205,909
53206,669
53207,2500
53208,484
53209,2200
53210,1700
53211,1200
53212,1400
53213,390
53214,1300
53215,1800
53216,183
53217,442
53218,126
53219,355
53220,305
53221,1100
53222,830
53223,396
53224,305
53225,129
53226,934
53227,268
53228,208
53233,993
53235,275
53402,454
53403,148
53404,174
53405,188
53406,284
53501,1
53502,8
53503,76
53504,8
53505,273
53506,6
53507,17
53508,41
53510,2
53511,160
53515,90
53516,12
53517,39
53518,6
53520,22
53521,65
53522,58
53523,163
53525,288
53526,5
53527,48
53528,559
53529,80
53530,11
53531,243
53532,191
53533,25
53534,66
53536,19
53537,1
53538,44
53541,19
53543,5
53544,43
53545,225
53546,234
53548,126
53549,84
53550,79
53551,27
53553,45
53554,4
53555,48
53556,10
53557,8
53558,26
53559,10
53560,48
53561,92
53562,398
53563,120
53565,17
53566,45
53569,6
53570,32
53571,1
53572,37
53573,5
53574,53
53575,47
53576,153
53577,7
53578,9
53579,17
53580,52
53581,24
53582,53
53583,35
53585,197
53586,22
53587,11
53588,31
53589,91
53590,223
53593,281
53594,38
53597,315
53598,143
53703,579
53704,855
53705,934
53706,380
53711,1400
53713,901
53714,280
53715,597
53716,830
53717,253
53718,1200
53719,663
53726,34
53801,15
53803,8
53804,3
53805,11
53806,4
53807,15
53808,2
53809,12
53810,20
53811,33
53813,12
53816,3
53818,36
53820,9
53821,57
53825,29
53826,4
53827,4
53901,60
53910,26
53911,171
53913,271
53916,53
53919,8
53920,5
53922,113
53923,6
53924,4
53925,27
53926,33
53929,4
53930,57
53931,77
53932,46
53933,91
53934,29
53935,4
53936,21
53937,5
53939,45
53941,23
53943,9
53944,156
53946,13
53948,29
53949,18
53950,25
53951,57
53952,17
53953,1
53954,17
53955,37
53956,17
53959,29
53960,8
53961,191
53963,19
53964,12
53965,124
53968,17
53969,9
54001,17
54002,26
54003,65
54004,14
54005,6
54006,25
54007,7
54009,55
54011,16
54013,4
54014,79
54015,31
54016,217
54017,42
54020,26
54021,64
54022,44
54023,206
54024,27
54025,123
54026,40
54027,32
54028,23
54082,352
54101,22
54102,5
54103,5
54104,6
54106,30
54107,43
54110,26
54111,25
54112,11
54113,113
54114,34
54115,506
54119,2
54120,1
54121,10
54123,2
54124,17
54125,4
54126,12
54128,4
54129,48
54130,175
54135,2
54136,123
54137,53
54138,23
54139,23
54140,324
54141,10
54143,79
54149,23
54150,2
54151,65
54153,19
54154,17
54155,511
54156,4
54157,12
54159,3
54160,1
54161,15
54162,15
54165,29
54166,51
54169,56
54170,11
54171,62
54173,406
54174,10
54175,32
54177,7
54180,45
54201,23
54202,92
54204,37
54205,23
54208,21
54209,112
54210,41
54211,44
54212,114
54213,23
54214,2
54216,28
54217,27
54220,112
54227,39
54228,62
54229,287
54230,25
54232,1
54234,138
54235,70
54241,46
54245,77
54246,37
54247,149
54301,509
54302,452
54303,425
54304,476
54307,10
54311,278
54313,585
54401,190
54403,84
54405,17
54406,17
54407,21
54408,5
54409,33
54410,5
54411,6
54412,5
54413,2
54414,4
54416,114
54418,1
54420,8
54421,15
54422,18
54423,60
54424,6
54425,17
54426,5
54427,17
54428,10
54433,2
54435,3
54436,6
54437,3
54440,18
54441,76
54442,3
54443,13
54446,1
54447,3
54448,13
54449,68
54450,20
54451,20
54452,35
54454,3
54455,25
54456,17
54457,22
54459,4
54460,6
54462,9
54463,8
54465,14
54466,65
54467,69
54469,72
54470,4
54471,124
54473,6
54474,104
54475,79
54476,186
54479,60
54480,39
54481,166
54482,170
54484,12
54485,13
54486,11
54487,36
54488,10
54489,5
54490,2
54491,9
54493,1
54494,72
54495,19
54498,4
54499,15
54501,64
54511,4
54512,22
54513,6
54514,6
54515,1
54519,15
54520,3
54521,61
54524,26
54525,18
54526,2
54527,3
54529,10
54530,2
54531,15
54534,31
54536,5
54537,1
54538,15
54539,48
54540,29
54541,7
54542,5
54545,40
54546,3
54547,20
54548,23
54550,43
54552,11
54554,9
54555,18
54556,5
54557,8
54558,37
54559,3
54560,98
54562,19
54563,18
54564,66
54566,10
54568,128
54601,286
54603,276
54610,13
54611,8
54612,10
54613,14
54614,21
54615,31
54616,8
54618,11
54619,9
54621,95
54622,10
54623,11
54624,12
54625,421
54626,7
54627,10
54628,2
54629,28
54630,25
54631,7
54632,15
54634,7
54635,6
54636,35
54638,10
54639,7
54642,1
54644,5
54646,8
54648,7
54650,205
54651,13
54652,27
54653,30
54655,9
54656,36
54657,4
54658,20
54659,7
54660,45
54661,24
54664,3
54665,22
54666,7
54667,14
54669,92
54670,9
54701,243
54703,252
54720,220
54721,10
54722,6
54723,88
54724,20
54725,7
54726,15
54727,19
54728,21
54729,157
54730,5
54731,28
54732,13
54733,2
54734,6
54736,10
54737,20
54738,3
54739,11
54740,5
54741,6
54742,7
54745,16
54746,2
54747,1
54748,13
54749,72
54750,4
54751,60
54754,7
54755,6
54756,22
54757,21
54758,11
54759,37
54760,14
54761,6
54762,5
54763,4
54766,1
54767,9
54768,18
54769,62
54770,4
54771,13
54772,11
54773,10
54801,47
54805,29
54806,33
54810,15
54812,23
54813,15
54814,37
54817,13
54819,3
54820,22
54821,15
54822,53
54824,51
54826,12
54827,6
54828,2
54829,12
54830,3
54832,2
54835,3
54836,2
54837,15
54838,8
54839,6
54840,8
54841,2
54843,24
54844,6
54846,4
54847,16
54848,19
54849,11
54850,1
54853,19
54854,3
54855,3
54856,4
54858,59
54859,13
54861,1
54862,5
54864,5
54865,2
54867,2
54868,50
54870,10
54871,29
54872,20
54873,6
54874,7
54875,1
54876,12
54880,20
54888,9
54889,15
54891,27
54893,33
54895,2
54896,6
54901,286
54902,195
54904,216
54909,9
54911,431
54913,453
54914,412
54915,467
54921,9
54922,17
54923,24
54927,4
54928,26
54929,18
54930,10
54931,1
54932,128
54935,128
54937,125
54940,23
54941,21
54942,125
54943,13
54944,114
54945,18
54947,26
54948,12
54949,24
54950,11
54952,505
54956,372
54960,23
54961,39
54962,25
54963,28
54964,70
54965,8
54966,10
54967,3
54968,23
54970,28
54971,55
54974,104
54977,76
54979,85
54981,45
54982,29
54983,17
54984,31
54986,30
